2018-01-09,招商证券,603101,汇嘉时代,汇嘉时代(603101)深耕本土，领跑新疆零售行业-180108,webcache\20180110\webcache-20180302224918.html,51pdf,
2018-01-09,广发证券,002356,赫美集团,赫美集团(002356)公告点评：拟收购尚品网，全渠道布局奢侈品运营-180108,webcache\20180110\webcache-20180302224918.html,51pdf,
2018-01-09,华泰证券,601137,博威合金,博威合金(601137)电子材料新贵，高端产能增厚业绩-180109,webcache\20180110\webcache-20180302224918.html,51pdf,
2018-01-09,群益证券,600585,海螺水泥,海螺水泥(600585)4Q水泥价格持续走高，年报业绩超预期，维持“买入”评级-180108,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,华泰证券,002463,沪电股份,沪电股份（002463）主业改善，汽车电子和5G迎新生-180109,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,新时代证券,600438,通威股份,通威股份（600438）十年磨砺，后发致人-180108,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,新时代证券,300027,华谊兄弟,华谊兄弟（300027）电影双王炸+实景娱乐迎开园，大娱乐生态圈成效初现-180108,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,德意志银行,300124,汇川技术,汇川技术(300124)Access China conference highlights-180108,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,德意志银行,600066,宇通客车,宇通客车(600066)Access China conference highlights 2018-180108,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,长江证券,600201,生物股份,生物股份(600201)点评报告：猪口蹄疫O-A二价苗成功获批，龙头地位日益稳固-171226,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,广发证券,600276,恒瑞医药,恒瑞医药（600276）销售改革与新药研发进展顺利，强者恒强-180109,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,招商证券,601137,博威合金,博威合金（601137）受益于高端产品放量 公司业绩同比高速增长-180109,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,东方证券,603877,太平鸟,太平鸟（603877）四季度收入增速超预期，存货压力进一步减轻，18年蓄势待发-180109,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,东吴证券,300567,精测电子,精测电子（300567）武汉精鸿开辟半导体测试，“3C+新能源”检测龙头鸿图画卷渐展-180109,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,财富证券,300418,昆仑万维,昆仑万维（300418）动态点评：完成Grindr股权交割，推进布局社交媒体和内容平台-180110,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,财富证券,002285,世联行,世联行（002285）动态点评：拟在三地设立子公司，加快布局红璞公寓-180110,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,东兴证券,300122,智飞生物,智飞生物（300122）深度报告：业绩爆发高增长元年开启，拥抱疫苗创新大产品大时代-180108,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,信达证券,002069,獐子岛,獐子岛（002069）深度报告：资源市场两端发力，品牌巨头雏形已现-180109,webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,民生证券,000717,韶钢松山,"韶钢松山(000717)持续受益广东供需格局,特钢将迎来发展-180105",webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,民生证券,603939,益丰药房,"益丰药房(603939)并购进程加快,巩固中南,华东优势区域-180108",webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,民生证券,300285,国瓷材料,"国瓷材料(300285)调研简报-战略布局已成,内生稳健,外延可期-180105",webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,民生证券,002282,博深工具,"博深工具(002282)高铁规划维持高位,公司刹车闸片产业化落地-180108",webcache\20180109\webcache-20180302224919.html,51pdf,
2018-01-09,中信证券,300182,捷成股份,"捷成股份(300182)2017年业绩预告点评-当期表现靠谱,中期成长可见,估值提升可期-180109",webcache\20180109\webcache-20180302224924.html,51pdf,
2018-01-09,中信证券,001979,招商蛇口,"招商蛇口(001979)重大事项点评-战略储备充足,销售融资发力-180109",webcache\20180109\webcache-20180302224924.html,51pdf,
2018-01-09,中信证券,603877,太平鸟,"太平鸟(603877)2017年业绩预增公告点评业绩预增,复苏趋势更为明朗,坚定看好-180109",webcache\20180109\webcache-20180302224924.html,51pdf,
2018-01-09,申万宏源,600114,东睦股份,东睦股份(600114)2017年业绩同比增长60%-80%，符合预期，维持买入评级-180108,webcache\20180109\webcache-20180302224924.html,51pdf,
2018-01-09,中信证券,600236,桂冠电力,"桂冠电力(600236)重大事项点评-电量超出预期,分红有望回升-180109",webcache\20180109\webcache-20180302224924.html,51pdf,
2018-01-09,华创证券,601155,新城控股,新城控股（601155）12月销售点评：销售创历史新高，向一线龙头冲刺，重申强烈推荐-180109,webcache\20180109\webcache-20180302224924.html,51pdf,
2018-01-09,安信证券,300498,温氏股份,温氏股份(300498)业绩环比持续改善，18年有望维持高盈利-180109,webcache\20180109\webcache-20180302224924.html,51pdf,
