2018-01-19,中金公司,600011,华能国际,"华能国际(600011)Full year output +25.8%,average selling price recovered,as expected-180118",webcache\20180120\webcache-20180302224759.html,51pdf,
2018-01-19,德意志银行,600104,上汽集团,上汽集团(600104)FY17 preliminary profit does not bring much surprise-180119,webcache\20180120\webcache-20180302224759.html,51pdf,
2018-01-19,长江证券,601111,中国国航,中国国航(601111)运力低速扩张收官，国内国际均衡发展-180117,webcache\20180120\webcache-20180302224759.html,51pdf,
2018-01-19,国海证券,300324,旋极信息,旋极信息（300324）调研简报：军民融合发展，装备健康管理前景可期-180119,webcache\20180120\webcache-20180302224759.html,51pdf,
2018-01-19,长江证券,300498,温氏股份,温氏股份(300498)系列报告之一：如何看待公司核心竞争力？-180118,webcache\20180120\webcache-20180302224759.html,51pdf,
2018-01-19,国金证券,300203,聚光科技,"聚光科技(300203)环境监测景气度上行,龙头长期受益-180114",webcache\20180120\webcache-20180302224759.html,51pdf,
2018-01-19,国金证券,300324,旋极信息,"旋极信息(300324)税控板块受政策影响,军工新增长开始发力-180114",webcache\20180120\webcache-20180302224759.html,51pdf,
2018-01-19,国金证券,600138,中青旅,"中青旅(600138)股权划转迎估值提振,复盘景区议成长空间-180114",webcache\20180120\webcache-20180302224759.html,51pdf,
2018-01-19,民生证券,000776,广发证券,"广发证券(000776)2017年业绩快报点评：业绩优于行业,投行,资管行业领先-180116",webcache\20180120\webcache-20180302224759.html,51pdf,
2018-01-19,民生证券,300422,博世科,"博世科(300422)盈利增速符合预期,乡镇水务大有可为-180117",webcache\20180119\webcache-20180302224800.html,51pdf,
2018-01-19,民生证券,300164,通源石油,"通源石油(300164)国内外双重布局,油价上涨作业量价齐升-180115",webcache\20180119\webcache-20180302224800.html,51pdf,
2018-01-19,民生证券,603458,勘设股份,"勘设股份(603458)云贵勘设翘楚,订单充足业绩可期-180116",webcache\20180119\webcache-20180302224800.html,51pdf,
2018-01-19,民生证券,603960,克来机电,"克来机电(603960)汽车电子整体向好,需求旺盛拉动投资增长-180115",webcache\20180119\webcache-20180302224800.html,51pdf,
2018-01-19,中信建投,300487,蓝晓科技,蓝晓科技（300487）盐湖提锂正式出货，工业化进程迈出关键一步-180119,webcache\20180119\webcache-20180302224800.html,51pdf,
2018-01-19,中信建投,600596,新安股份,新安股份（600596）业绩符合预期，搬迁技改完成2018将迎爆发-180119,webcache\20180119\webcache-20180302224800.html,51pdf,
2018-01-19,中信建投,002258,利尔化学,利尔化学（002258）草铵膦量价齐升，可转债项目再续高成长-180119,webcache\20180119\webcache-20180302224800.html,51pdf,
2018-01-19,华鑫证券,601877,正泰电器,正泰电器（601877）EPC项目再签大单，“光伏+低压电器”共同推动业绩稳健增长-180119,webcache\20180119\webcache-20180302224800.html,51pdf,
2018-01-19,中泰证券,603228,景旺电子,景旺电子（603228）稳健增长，即将迎接新产能落地-180119,webcache\20180119\webcache-20180302224800.html,51pdf,
2018-01-19,安信证券,000488,晨鸣纸业,晨鸣纸业(000488)纸业高景气，全年业绩表现靓丽-180119,webcache\20180119\webcache-20180302224800.html,51pdf,
2018-01-19,天风证券,601012,隆基股份,隆基股份(601012)产业资本长期看好，强强联合拥抱成长-180119,webcache\20180119\webcache-20180302224800.html,51pdf,
