2017-12-06,国联证券,002241,歌尔股份,歌尔股份(002241)从器件到整机，修筑成长新桥梁-171115,webcache\20171207\webcache-447dddd52992b0af.html,51pdf,
2017-12-06,国元证券,603161,科华控股,新股网下询价策略（2017~142总202期）：科华控股（603161）-171128,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,中信证券,600138,中青旅,中青旅(600138)实际控制人变更确定但待审批-171205,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,中金公司,601600,中国铝业,中国铝业(601600)Capital increase and debt-to-equity swap to improve capital structure-171205,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,长江证券,002493,荣盛石化,荣盛石化(002493)定增过会，助力大炼化项目顺利推进-171205,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,长江证券,600642,申能股份,申能股份(600642)油电双擎，行稳致远-171204,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,天风证券,600338,西藏珠峰,"西藏珠峰(600338)拟联合收购境外优质盐湖资产,新锂业巨头或诞生-171206",webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,海通证券,000555,神州信息,"神州信息(000555)收购恒鸿达科技,完善it服务产业链-171205",webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,海通证券,600782,新钢股份,"新钢股份(600782)限产利好板材企业,降本增效促盈利提升-171204",webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,海通证券,600048,保利地产,保利地产(600048)收购保利香港股权-确立主要开发平台，开启新一轮成长-171204,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,财富证券,002094,青岛金王,青岛金王(002094)布局颜值生态圈，线上线下全渠道运营-171205,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,方正证券,300232,洲明科技,洲明科技（300232）小间距持续爆增，照明工程助力业绩飞跃-171204,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,浙商证券,300128,锦富技术,锦富技术(300128)日轮擘水出，始觉江面宽-171205,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,浙商证券,600703,三安光电,三安光电(600703)拟333亿投资现在与未来-171205,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,天风证券,002273,水晶光电,水晶光电(002273)完成三期员工持股，AR助力发展-171206,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,天风证券,600703,三安光电,三安光电(600703)5G时代化合物半导体龙头，产业布局静候行业爆发-171206,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,中银国际,002139,拓邦股份,拓邦股份（002139）短期调整不改智控龙头中长期核心价值-171206,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,东兴证券,600535,天士力,天士力（600535）事件点评：战略投资健亚生物，糖尿病领域布局愈发完善，加速构建糖尿病慢病管理闭环-171205,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,东兴证券,603456,九洲药业,九洲药业（603456）事件点评：全年扣非业绩50％-70％拐点已现，长期看好CDMO板块发力-171204,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,东兴证券,600160,巨化股份,巨化股份（600160）事件点评：制冷剂均价上移、18年景气可期，静待电子化学品业务放量-171205,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,中泰证券,000039,中集集团,中集集团（000039）拟将空港设备业务注入中国消防预计公司产业聚集、战略整合将提速-171206,webcache\20171206\webcache-2c1fe0c4fe184677.html,51pdf,
2017-12-06,国海证券,603517,绝味食品,绝味食品（603517）深度报告：休闲卤制品龙头，规模优势降本提效-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,国海证券,000544,中原环保,中原环保（000544）事件点评：收购五建城乡拓展工程业务，增资河南晟融开启水务+光伏新模式-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,国海证券,000717,韶钢松山,韶钢松山（000717）动态点评：粤最大钢企，受益供给收缩、业绩弹性大-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,国海证券,002798,帝王洁具,帝王洁具（002798）深度报告：布局瓷砖领域，“大卫浴”模式发展可期-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,国海证券,002645,华宏科技,华宏科技（002645）废钢设备需求持续增长，公司有望充分受益-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,联讯证券,601595,上海电影,鹿港文化（601595）带量突破创半年新高，基本面技渐入佳境-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,联讯证券,601599,鹿港文化,鹿港文化（601595）带量突破创半年新高，基本面技渐入佳境-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,中信建投,000967,盈峰环境,盈峰环境（000967）PPP大单落地湖北，看好业绩加速释放-171205,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,中信建投,600535,天士力,天士力（600535）积极布局创新孤儿药，有望分享海内外收益-171205,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,东莞证券,600138,中青旅,中青旅（600138）公司今日复牌，国企改革值得期待-171205,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,华鑫证券,300684,中石科技,中石科技（300684）新股询价报告-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,华鑫证券,300733,西菱动力,西菱动力（300733）新股询价报告-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,招商证券,002511,中顺洁柔,中顺洁柔（002511）高管增持彰显信心，提价缓解成本压力-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,东方证券,600779,水井坊,水井坊（600779）新总代+核心终端建设推动渠道扁平化，结构升级尽享次高端扩容增长-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,中原证券,002573,清新环境,清新环境（002573）烟气治理龙头企业，员工持股完成购买绑定利益一致-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,中信建投,002672,东江环保,东江环保（002672）与海螺创业签署合作协议，强势布局水泥窑协同处置-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,上海证券,603161,科华控股,科华控股（603161）涡轮增压器部件生产商-171206,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,上海证券,300351,永贵电器,永贵电器（300351）专于连接器产品，轨交+新能源汽车+通信+军工四行业齐发展-171205,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,渤海证券,002406,远东传动,远东传动（002406）非等速传动轴龙头，业绩有望厚积薄发-171204,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,国信证券,601155,新城控股,新城控股（601155）再度上调盈利预测，维持买入评级-171205,webcache\20171206\webcache-3aa0805b34457d9d.html,51pdf,
2017-12-06,银河证券,300516,久之洋,久之洋（300516）我国红外和激光领域龙头企业，光电子类产品成长空间广阔-171130,webcache\20171206\webcache-42c637d792e55135.html,51pdf,
2017-12-06,天风证券,002460,赣锋锂业,赣锋锂业(002460)迎接固态锂电池的商业化-171206,webcache\20171206\webcache-42c637d792e55135.html,51pdf,
