2018-01-30,招商证券    ,000581,威孚高科 ,威孚高科(000581)被低估的共轨龙头，走向价值重归之路-180128                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://www.51pdf.com.cn/report_gg_p175/                                                          ,51pdf,
2018-01-30,广证恒生    ,300059,东方财富 ,东方财富(300059)基本面改善迎来重大拐点，新一轮利润成长周期即将开启-180129                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,http://www.51pdf.com.cn/report_gg_p175/                                                          ,51pdf,
2018-01-30,广发证券    ,300070,碧水源  ,碧水源(300070)业绩预增25%~45%，优质PPP龙头未来将享受溢价-180127                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,http://www.51pdf.com.cn/report_gg_p175/                                                          ,51pdf,
2018-01-30,中金公司    ,603338,浙江鼎力 ,浙江鼎力(603338)Overseas sales to maintain high growth;seek quality clients at home-180129                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://www.51pdf.com.cn/report_gg_p175/                                                          ,51pdf,
2018-01-30,中金公司    ,000039,中集集团 ,中集集团(000039)Preannounced 2017 results in line;optimistic on 2018-180130                                                                                                                                                                                                                                                                                                                                                                                                                                    ,http://www.51pdf.com.cn/report_gg_p175/                                                          ,51pdf,
2018-01-30,群益证券    ,601888,中国国旅 ,中国国旅(601888)政策持续利好，免税业务业绩正待释放-180129                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://www.51pdf.com.cn/report_gg_p175/                                                          ,51pdf,
2018-01-30,长江证券    ,600507,方大特钢 ,方大特钢(600507)全年盈利创新高，同比增幅近3倍-180128                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://www.51pdf.com.cn/report_gg_p175/                                                          ,51pdf,
2018-01-30,德意志银行   ,601633,长城汽车 ,长城汽车(601633)Preliminary FY17 earnings below expectation-180129                                                                                                                                                                                                                                                                                                                                                                                                                                             ,http://www.51pdf.com.cn/report_gg_p175/                                                          ,51pdf,
2018-01-30,德意志银行   ,600519,贵州茅台 ,贵州茅台(600519)Increasing risk of over supply in 2018-180129                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p175/                                                          ,51pdf,
2018-01-30,兴业证券    ,600808,马钢股份 ,马钢股份(600808)业绩预告点评：长、板材盈利齐升，2017年净利润超40亿-180130                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://www.51pdf.com.cn/report_gg_p175/                                                          ,51pdf,
2018-01-30,兴业证券    ,300398,飞凯材料 ,飞凯材料（300398）2017年业绩预告点评：全年业绩有所增长，和成显示成为重要增长点-180130                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://www.51pdf.com.cn/report_gg_p175/                                                          ,51pdf,
