2018-02-02,华创证券,603639,海利尔,海利尔(603639)制剂原药一体化的吡虫啉龙头，新品类储备丰富-180130,http://www.51pdf.com.cn/report_gg_p134/,51pdf,
2018-02-02,中泰证券,601899,紫金矿业,紫金矿业(601899)快速成长的矿业巨头，尽享景气周期-180129,http://www.51pdf.com.cn/report_gg_p134/,51pdf,
2018-02-02,国元证券,600901,江苏租赁,七一二、江苏租赁、泰永长征新股网下询价策略-180131,http://www.51pdf.com.cn/report_gg_p135/,51pdf,
2018-02-02,国元证券,603712,七一二,七一二、江苏租赁、泰永长征新股网下询价策略-180131,http://www.51pdf.com.cn/report_gg_p135/,51pdf,
2018-02-02,国元证券,002927,泰永长征,七一二、江苏租赁、泰永长征新股网下询价策略-180131,http://www.51pdf.com.cn/report_gg_p135/,51pdf,
2018-02-02,华林证券,600707,彩虹股份,彩虹股份(600707)深度研究：定增落地欲破垄断，静待质变-180201,http://www.51pdf.com.cn/report_gg_p135/,51pdf,
2018-02-02,群益证券,300124,汇川技术,汇川技术(300124)工行行情向好，公司业绩符合预期-180201,http://www.51pdf.com.cn/report_gg_p135/,51pdf,
2018-02-02,招商证券,000681,视觉中国,视觉中国(000681)图片付费大风起，视觉中国扛旗者-180131,http://www.51pdf.com.cn/report_gg_p135/,51pdf,
2018-02-02,招商证券,000070,特发信息,特发信息(000070)光通信景气驱动，低估值成长加速-180201,http://www.51pdf.com.cn/report_gg_p135/,51pdf,
2018-02-02,招商证券,000703,恒逸石化,恒逸石化(000703)17年表现优异，未来持续成长，上调投资评级-180131,http://www.51pdf.com.cn/report_gg_p135/,51pdf,
2018-02-02,山西证券,300027,华谊兄弟,华谊兄弟(300027)17年扣非净利向好，电影业务亮眼-180126,http://www.51pdf.com.cn/report_gg_p135/,51pdf,
2018-02-02,申万宏源,000408,藏格控股,藏格控股(000408)公司点评：略低于申万预期，钾肥扩产涨价及贸易业务贡献主要业绩增量-180201,http://www.51pdf.com.cn/report_gg_p135/,51pdf,
2018-02-02,方正证券,600581,八一钢铁,八一钢铁(600581)固投高增长打开需求空间，行业格局改善利好新疆龙头钢企-180129,http://www.51pdf.com.cn/report_gg_p135/,51pdf,
