2018-01-26,长江证券,600060,海信电器,海信电器(600060)营收端改善可期，盈利能力或逐步恢复-180122,webcache\20180127\webcache-20180302224641.html,51pdf,
2018-01-26,群益证券,300271,华宇软件,华宇软件(300271)2017年业绩预增40％~50％，积极拓展泛政府信息化市场-180122,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,新时代证券,601012,隆基股份,隆基股份(601012)业绩继续超预期，三年规划凸显实力和雄心-180125,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,新时代证券,600885,宏发股份,宏发股份(600885)新能源车带动高压直流继电器业绩增长，继电器龙头业绩可期-180119,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,招商证券,002356,赫美集团,赫美集团(002356)聚焦高端品质消费，奢侈品旗舰扬帆起航-180125,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,招商证券,603871,嘉友国际,嘉友国际(603871)新股分析：依托中蒙贸易口岸，拓展“一带一路”跨境物流-180125,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,东吴证券,000039,中集集团,中集集团(000039)空港业务注入中国消防，重返美国市场步伐提速-180125,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,招商证券,300737,科顺股份,科顺股份(300737)新股分析：快速成长的新型防水企业-180125,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,招商证券,600076,康欣新材,康欣新材(600076)集装箱底板签订重大合同，量价均将明显提升-180118,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,招商证券,603788,宁波高发,宁波高发(603788)公司点评：业绩超预期，17同比增长45~55％-180119,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,东莞证券,603027,千禾味业,千禾味业(603027)稳固西南大本营，不断开拓全国市场-180126,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,德意志银行,600019,宝钢股份,宝钢股份(600019)Real alpha in the Chinese steel sector;Buy re-iterated-180125,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,长江证券,002304,洋河股份,洋河股份(002304)轻装上阵，再度起航-180124,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,群益证券,000488,晨鸣纸业,晨鸣纸业(000488)强者恒强，17年业绩成绩单亮丽-180126,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,群益证券,300262,巴安水务,巴安水务(300262)17年业绩预增55%-80%，丰厚在手订单保障未来高成长-180126,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,群益证券,600019,宝钢股份,宝钢股份(600019)全年业绩增长超预期，盈利能力保持高位，维持“买入”建议-180126,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,财富证券,600584,长电科技,长电科技(600584)动态点评：估值有望回归合理，未来盈利可期-180126,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,财富证券,002294,信立泰,信立泰(002294)动态点评：接连入股高端医疗器械公司，发挥心血管领域药械协同效应-180126,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,华金证券,300388,国祯环保,国祯环保(300388)水治理综合服务商，订单充盈夯实增长基础-180126,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,中银国际,600305,恒顺醋业,恒顺醋业（600305）土地补偿大幅提升17年利润，调味品继续向好-180126,webcache\20180126\webcache-20180302224642.html,51pdf,
2018-01-26,国信证券,300027,华谊兄弟,华谊兄弟(300027)“电影+实景娱乐“双轮驱动，关注一季报业绩反转-180126,webcache\20180126\webcache-20180302224643.html,51pdf,
2018-01-26,国信证券,300383,光环新网,光环新网(300383)业绩预告符合预期，云业务持续高速增长-180126,webcache\20180126\webcache-20180302224643.html,51pdf,
2018-01-26,民生证券,601888,中国国旅,"中国国旅(601888)畅享免税政策红利,静待业绩释放-180125",webcache\20180126\webcache-20180302224643.html,51pdf,
2018-01-26,民生证券,000671,阳光城,"阳光城(000671)销售高增长叠加毛利率修复,业绩有望继续提速-180124",webcache\20180126\webcache-20180302224643.html,51pdf,
2018-01-26,民生证券,002244,滨江集团,"滨江集团(002244)低负债+长租+旧改,助力公司扬帆起航-180124",webcache\20180126\webcache-20180302224643.html,51pdf,
2018-01-26,民生证券,002019,亿帆医药,"亿帆医药(002019)NovoTek收购完成,协助推进国际化战略-180125",webcache\20180126\webcache-20180302224643.html,51pdf,
2018-01-26,国金证券,601012,隆基股份,"隆基股份(601012)业绩大超预期,电站业务模式获盈利验证-180125",webcache\20180126\webcache-20180302224643.html,51pdf,
2018-01-26,国金证券,600197,伊力特,"伊力特(600197)可交债事项完成,18年将是伊力特涅槃新起点-180125",webcache\20180126\webcache-20180302224643.html,51pdf,
