2018-01-10,长江证券      ,600138,中青旅   ,中青旅(600138)光大入主，开启品质生活新篇章-180107                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://www.51pdf.com.cn/report_gg_p288/                                                          ,51pdf,
2018-01-10,民生证券      ,300027,华谊兄弟  ,"华谊兄弟(300027)《前任3》10天票房超12亿,电影业务持续表现亮眼-171229"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://www.51pdf.com.cn/report_gg_p288/                                                          ,51pdf,
2018-01-10,财富证券      ,601238,广汽集团  ,广汽集团(601238)动态点评：广汽携手蔚来、广州公交集团，积极布局新能源汽车-180110                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://www.51pdf.com.cn/report_gg_p289/                                                          ,51pdf,
2018-01-10,安信证券      ,600436,片仔癀   ,片仔癀(600436)片仔癀系列量价齐升，业绩高增长-180110                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://www.51pdf.com.cn/report_gg_p289/                                                          ,51pdf,
2018-01-10,安信证券      ,603866,桃李面包  ,桃李面包(603866)利润率同比修复明显，低基数下一季报值得期待-180110                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://www.51pdf.com.cn/report_gg_p289/                                                          ,51pdf,
2018-01-10,安信证券      ,300024,机器人   ,拓斯达(300607)受益机器人产业发展大潮，预告净利大幅增长符合预期-180110                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://www.51pdf.com.cn/report_gg_p289/                                                          ,51pdf,
2018-01-10,安信证券      ,300607,拓斯达   ,拓斯达(300607)受益机器人产业发展大潮，预告净利大幅增长符合预期-180110                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://www.51pdf.com.cn/report_gg_p289/                                                          ,51pdf,
2018-01-10,安信证券      ,002383,合众思壮  ,合众思壮(002383)自主网订单持续落地，喜迎开门红-180110                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://www.51pdf.com.cn/report_gg_p289/                                                          ,51pdf,
2018-01-10,安信证券      ,300365,恒华科技  ,恒华科技(300365)紧抓电改机遇，预告年报高增长-180109                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://www.51pdf.com.cn/report_gg_p289/                                                          ,51pdf,
2018-01-10,安信证券      ,300342,天银机电  ,天银机电(300342)业绩预告：同比增长10-20%-180109                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://www.51pdf.com.cn/report_gg_p289/                                                          ,51pdf,
2018-01-10,安信证券      ,000513,丽珠集团  ,丽珠集团(000513)重磅产品艾普拉唑针剂获批，助力业绩高增长-180109                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://www.51pdf.com.cn/report_gg_p289/                                                          ,51pdf,
